"","Operating.System","Connection.State","Ingress.Router","Assembled.Payload.Size","DYNRiskA.Score","Response.Size","Source.Ping.Time","Connection.Rate","Server.Response.Packet.Time","Packet.Size","Packet.TTL","Source.IP.Concurrent.Connection","Class"
"190087","Android","ESTABLISHED","mel-aus-01",65416,0.654793662,585500,242,659.0643817,136,1357,55,25,"NonMal"
"458544","Android","ESTABLISHED","mel-aus-01",67172,0.633643711,500022,321,629.9542069,139,1409,61,24,"NonMal"
"101492","Windows","ESTABLISHED","mel-aus-01",64138,0.433211897,596174,264,533.9552654,142,1343,59,17,"NonMal"
"91636","Android","ESTABLISHED","mel-aus-01",62001,0.502145083,527688,310,286.5875825,164,1373,62,17,"NonMal"
"345606","Android","ESTABLISHED","mel-aus-01",54350,0.70152973,464883,319,337.2456454,214,1343,60,27,"NonMal"
"478985","Windows","ESTABLISHED","mel-aus-01",61685,0.659817783,567676,344,660.4331248,151,1345,60,26,"NonMal"
"430177","Others","Others","mel-aus-01",51119,0.435530719,587160,261,527.0251677,179,1362,61,15,"NonMal"
"197936","Windows","ESTABLISHED","mel-aus-01",65827,0.688575625,593942,225,556.2344819,119,1348,73,22,"NonMal"
"251964","Windows","ESTABLISHED","mel-aus-01",60779,0.42371114,360921,238,686.4161347,156,1353,67,14,"NonMal"
"10216","Android","ESTABLISHED","syd-tls-04",63094,0.303061484,350380,239,787.2446075,153,1315,67,15,"NonMal"
"80839","Windows","Others","mel-aus-01",74270,0.501510043,581976,190,905.0376192,118,1354,47,30,"NonMal"
"278085","Android","ESTABLISHED","mel-aus-01",72732,0.355907295,336436,272,414.9581834,96,1435,79,16,"NonMal"
"163753","Android","ESTABLISHED","mel-aus-01",67598,0.622018035,566867,293,772.8088765,157,1332,66,26,"NonMal"
"270763","Android","ESTABLISHED","syd-tls-04",61663,0.614525977,489473,306,667.5634201,167,1350,58,28,"NonMal"
"483059","Windows","ESTABLISHED","syd-tls-04",59641,0.657011918,477415,299,584.3416649,163,1312,57,26,"NonMal"
"51604","Windows","ESTABLISHED","mel-aus-01",67264,0.547606616,487748,306,24.66684543,207,1355,55,22,"NonMal"
"119889","Windows","ESTABLISHED","syd-tls-04",56617,0.592008832,484867,313,208.8094815,245,1379,81,23,"NonMal"
"144898","Windows","ESTABLISHED","syd-tls-04",49106,0.703693811,617857,334,734.9036403,163,1327,64,30,"NonMal"
"139763","Android","ESTABLISHED","syd-tls-04",58082,0.555346818,335489,265,46.48149566,166,1316,73,17,"NonMal"
"153854","Windows","ESTABLISHED","syd-tls-04",71498,0.459605646,410390,262,282.7981366,192,1332,83,21,"NonMal"
"79368","Android","ESTABLISHED","syd-tls-04",62662,0.656391133,461995,219,767.544202,137,1295,59,26,"NonMal"
"402234","Android","ESTABLISHED","mel-aus-01",53560,0.822567313,394473,237,467.3045651,184,1343,72,22,"NonMal"
"443714","Windows","ESTABLISHED","syd-tls-04",61155,0.372207291,453321,255,567.1655069,183,1363,56,18,"NonMal"
"470447","Others","ESTABLISHED","mel-aus-01",56369,0.71748655,344572,255,363.2940693,165,1367,78,25,"NonMal"
"449229","Windows","Others","syd-tls-04",72469,0.547248738,439956,321,934.8938739,142,1384,71,27,"NonMal"
"379214","Android","ESTABLISHED","mel-aus-01",74373,0.43936572,430674,386,453.3030876,192,1364,74,23,"NonMal"
"5694","Windows","ESTABLISHED","mel-aus-01",52945,0.570608444,245080,283,246.8724762,110,1406,68,13,"NonMal"
"335258","Windows","ESTABLISHED","mel-aus-01",59247,0.643294398,588754,281,191.2053375,192,1342,60,24,"NonMal"
"77699","Android","ESTABLISHED","syd-tls-04",51753,0.765257468,660365,295,977.9302916,127,1334,67,27,"NonMal"
